"algor","algor_props_alpha","algor_props_beta","algor_props_clustercount","algor_props_distance","algor_props_hypersvaryonquery","algor_props_iterations","algor_props_kmeans_distance","algor_props_kmeans_iterations","algor_props_proposalstdev","algor_props_samplehypers","algor_props_usekmeans","burn_in","cat_groups","chain_count","clusters","command","cross_folds","dataset","dict_size","iters","job","max_word","min_freq","min_word","output_file","sample_lag","seed","start_time","stem","stop","overall","perplexity","run_time_mins"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","40","topic","3","nips","50000","400","","","","","nips-momvb-job-13.log","","314159265","2013/03/06 16:21:27","True","True","1831.995097609773","1831.995097609773","285.3833333328366"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","50","topic","3","nips","50000","400","","","","","nips-momvb-job-14.log","","314159265","2013/03/06 16:22:28","True","True","1836.4561356858717","1836.4561356858717","394.2166666686535"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","60","topic","3","nips","50000","400","","","","","nips-momvb-job-15.log","","314159265","2013/03/06 16:22:28","True","True","1821.884946157345","1821.884946157345","497.1833333335817"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","70","topic","3","nips","50000","400","","","","","nips-momvb-job-16.log","","314159265","2013/03/06 16:23:00","True","True","1873.901563669323","1873.901563669323","496.9666666649282"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","80","topic","3","nips","50000","400","","","","","nips-momvb-job-17.log","","314159265","2013/03/06 16:23:00","True","True","1848.608467777103","1848.608467777103","588.6333333328366"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","90","topic","3","nips","50000","400","","","","","nips-momvb-job-18.log","","314159265","2013/03/06 16:23:27","True","True","1871.582135291949","1871.582135291949","768.0333333350718"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","4","topic","3","nips","50000","400","","","","","nips-momvb-job-2.log","","314159265","2013/03/06 15:58:50","True","True","1924.2420627865977","1924.2420627865977","18.58333333581686"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","5","topic","3","nips","50000","400","","","","","nips-momvb-job-3.log","","314159265","2013/03/06 16:12:30","True","True","1887.0170550414132","1887.0170550414132","23.66666666790843"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","6","topic","3","nips","50000","400","","","","","nips-momvb-job-4.log","","314159265","2013/03/06 16:16:51","True","True","1852.5079402215533","1852.5079402215533","13.399999998509884"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","8","topic","3","nips","50000","400","","","","","nips-momvb-job-5.log","","314159265","2013/03/06 16:16:51","True","True","1865.455187910505","1865.455187910505","18.86666666343808"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","10","topic","3","nips","50000","400","","","","","nips-momvb-job-6.log","","314159265","2013/03/06 16:16:51","True","True","1861.6619541084629","1861.6619541084629","24.766666665673256"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","12","topic","3","nips","50000","400","","","","","nips-momvb-job-7.log","","314159265","2013/03/06 16:17:48","True","True","1845.6648023932923","1845.6648023932923","31.099999997764826"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","15","topic","3","nips","50000","400","","","","","nips-momvb-job-8.log","","314159265","2013/03/06 16:17:50","True","True","1848.0839286165924","1848.0839286165924","41.0333333350718"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","20","topic","3","nips","50000","400","","","","","nips-momvb-job-9.log","","314159265","2013/03/06 16:17:50","True","True","1843.4067627965187","1843.4067627965187","58.61666666716337"
"LdaCvb","0.1","0.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","2","topic","3","20newsclean","30000","400","","","","","optimized-20news-ldacvb-job-0.log","","314159265","2013/03/12 17:01:38","True","True","1806.5662787951505","1806.5662787951505","3.716666668653488"
"LdaCvb","0.1","0.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","3","topic","3","20newsclean","30000","400","","","","","optimized-20news-ldacvb-job-1.log","","314159265","2013/03/12 17:01:54","True","True","1708.884396537222","1708.884396537222","6.066666666418314"
"LdaCvb","0.1","0.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","25","topic","3","20newsclean","30000","400","","","","","optimized-20news-ldacvb-job-10.log","","314159265","2013/03/12 17:04:27","True","True","1543.3287206773653","1543.3287206773653","21.483333334326744"
